trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
181,False,"{'a': 0.2, 'e': 0.5475}",20,0,-32.84157749371746,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
182,False,"{'a': 0.2, 'e': 0.5449999999999999}",20,6,-54.32365431905468,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 1}",1
183,False,"{'a': 0.2, 'e': 0.5425}",20,12,-50.5174940853648,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 1}",1
184,False,"{'a': 0.2, 'e': 0.54}",25,17,14.101179498973433,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.2, 'e': 0.5375}",30,9,-80.0685432378188,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 1}",1
186,False,"{'a': 0.2, 'e': 0.5349999999999999}",25,8,28.925710989750037,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.2, 'e': 0.5325}",20,0,-142.34446089128733,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
188,False,"{'a': 0.2, 'e': 0.53}",25,8,18.102440408282202,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
189,False,"{'a': 0.2, 'e': 0.5275}",20,0,-34.78605090173376,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
190,False,"{'a': 0.2, 'e': 0.5249999999999999}",20,9,-32.72344940240187,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 1}",1
191,False,"{'a': 0.2, 'e': 0.5225}",30,16,-0.6703479441317257,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
